bookId,title,link,authors,img,book_id,genres,average_rating,language,num_pages,ratings_count,text_reviews_count,publication_date,publisher
2767052,"The Hunger Games (The Hunger Games, #1)",https://www.goodreads.com/book/show/2767052-the-hunger-games,Suzanne Collins,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1586722975i/2767052.jpg,2767052,"Young Adult, Fiction, Fantasy, Science Fiction, Teen, Audiobook, Post Apocalyptic",4.34,English,374,8680309,218628,10/14/2008 14:00,Scholastic Press
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,J.K. Rowling,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546910265i/2.jpg,2,"Young Adult, Fiction, Magic, Childrens, Audiobook, Adventure, Middle Grade",4.5,English,912,3388465,63869,9/1/2004 14:00,Scholastic Inc.
1885,Pride and Prejudice,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,Jane Austen,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885.jpg,1885,"Fiction, Historical Fiction, Historical, Literature, Audiobook, Novels, Historical Romance",4.29,English,279,4275460,115275,10/10/2000 14:00,Modern Library
2657,To Kill a Mockingbird,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,Harper Lee,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1553383690i/2657.jpg,2657,"Classics, Fiction, Historical Fiction, School, Literature, Young Adult, Historical",4.26,English,323,6132618,117540,5/23/2006 14:00,Harper Perennial Modern Classics 
19063,The Book Thief,https://www.goodreads.com/book/show/19063.The_Book_Thief,Markus Zusak,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1522157426i/19063.jpg,19063,"Historical Fiction, Fiction, Young Adult, Classics, Historical, War, World War II",4.39,English,592,2561719,144952,3/14/2006 15:00,Alfred A. Knopf
41865,"Twilight (The Twilight Saga, #1)",https://www.goodreads.com/book/show/41865.Twilight,Stephenie Meyer,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1700522826i/41865.jpg,41865,"Young Adult, Romance, Fiction, Vampires, Paranormal, Paranormal Romance, Supernatural",3.65,English,498,6586314,130402,9/6/2006 14:00,"Little, Brown and Company"
170448,Animal Farm,https://www.goodreads.com/book/show/170448.Animal_Farm,George Orwell,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1325861570i/170448.jpg,170448,"Classics, Fiction, Dystopia, Fantasy, School, Literature, Science Fiction",3.99,English,141,3891072,96535,4/1/1996 15:00,Signet Classics
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,J.R.R. Tolkien,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1656625315i/30.jpg,30,"Fantasy, Fiction, Classics, Adventure, Science Fiction Fantasy, Epic Fantasy, High Fantasy",4.61,English,1728,133755,2271,9/25/2012 14:00,Ballantine Books
11127,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,C.S. Lewis,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661032875i/11127.jpg,11127,"Fantasy, Classics, Fiction, Young Adult, Childrens, Christian, Middle Grade",4.27,English,767,651626,12565,1/1/2014 15:00,HarperCollins
11870085,The Fault in Our Stars,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,John Green,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1660273739i/11870085.jpg,11870085,"Young Adult, Fiction, Contemporary, Realistic Fiction, Teen, Coming Of Age, Novels",4.14,English,313,5145819,178964,1/10/2012 15:00,Dutton Books
5297,The Picture of Dorian Gray,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,Oscar Wilde,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546103428i/5297.jpg,5297,"Classics, Fiction, Horror, Fantasy, Gothic, Literature, Novels",4.12,English,272,1538280,70186,6/1/2004 14:00,Random House: Modern Library
370493,The Giving Tree,https://www.goodreads.com/book/show/370493.The_Giving_Tree,Shel Silverstein,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1174210942i/370493.jpg,370493,,,,,,,,
